group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,NDarray vectorized,1000,,,990833.0,ns,2734
UniFrac Function,NDarray vectorized,1000,,,1983792.0,ns,5468
UniFrac Function,NDarray vectorized,1000,,,2953959.0,ns,8202
UniFrac Function,NDarray vectorized,1000,,,3965708.0,ns,10936
UniFrac Function,NDarray vectorized,1000,,,5050917.0,ns,13670
UniFrac Function,NDarray vectorized,1000,,,6109959.0,ns,16404
UniFrac Function,NDarray vectorized,1000,,,6960500.0,ns,19138
UniFrac Function,NDarray vectorized,1000,,,8017625.0,ns,21872
UniFrac Function,NDarray vectorized,1000,,,8913709.0,ns,24606
UniFrac Function,NDarray vectorized,1000,,,9970958.0,ns,27340
UniFrac Function,NDarray vectorized,1000,,,10834750.0,ns,30074
UniFrac Function,NDarray vectorized,1000,,,11893167.0,ns,32808
UniFrac Function,NDarray vectorized,1000,,,12880000.0,ns,35542
UniFrac Function,NDarray vectorized,1000,,,13886833.0,ns,38276
UniFrac Function,NDarray vectorized,1000,,,14881166.0,ns,41010
UniFrac Function,NDarray vectorized,1000,,,15801458.0,ns,43744
UniFrac Function,NDarray vectorized,1000,,,16852834.0,ns,46478
UniFrac Function,NDarray vectorized,1000,,,17810042.0,ns,49212
UniFrac Function,NDarray vectorized,1000,,,18830084.0,ns,51946
UniFrac Function,NDarray vectorized,1000,,,19722250.0,ns,54680
UniFrac Function,NDarray vectorized,1000,,,20805000.0,ns,57414
UniFrac Function,NDarray vectorized,1000,,,21782291.0,ns,60148
UniFrac Function,NDarray vectorized,1000,,,22759000.0,ns,62882
UniFrac Function,NDarray vectorized,1000,,,23716292.0,ns,65616
UniFrac Function,NDarray vectorized,1000,,,24685958.0,ns,68350
UniFrac Function,NDarray vectorized,1000,,,25638125.0,ns,71084
UniFrac Function,NDarray vectorized,1000,,,26624250.0,ns,73818
UniFrac Function,NDarray vectorized,1000,,,27641709.0,ns,76552
UniFrac Function,NDarray vectorized,1000,,,28599583.0,ns,79286
UniFrac Function,NDarray vectorized,1000,,,29655333.0,ns,82020
UniFrac Function,NDarray vectorized,1000,,,30586500.0,ns,84754
UniFrac Function,NDarray vectorized,1000,,,31556667.0,ns,87488
UniFrac Function,NDarray vectorized,1000,,,32571584.0,ns,90222
UniFrac Function,NDarray vectorized,1000,,,33564708.0,ns,92956
UniFrac Function,NDarray vectorized,1000,,,34494458.0,ns,95690
UniFrac Function,NDarray vectorized,1000,,,35502834.0,ns,98424
UniFrac Function,NDarray vectorized,1000,,,36451750.0,ns,101158
UniFrac Function,NDarray vectorized,1000,,,37441208.0,ns,103892
UniFrac Function,NDarray vectorized,1000,,,38537917.0,ns,106626
UniFrac Function,NDarray vectorized,1000,,,39480416.0,ns,109360
UniFrac Function,NDarray vectorized,1000,,,40563916.0,ns,112094
UniFrac Function,NDarray vectorized,1000,,,41493541.0,ns,114828
UniFrac Function,NDarray vectorized,1000,,,42570000.0,ns,117562
UniFrac Function,NDarray vectorized,1000,,,43532542.0,ns,120296
UniFrac Function,NDarray vectorized,1000,,,44466083.0,ns,123030
UniFrac Function,NDarray vectorized,1000,,,45519166.0,ns,125764
UniFrac Function,NDarray vectorized,1000,,,46560458.0,ns,128498
UniFrac Function,NDarray vectorized,1000,,,47423792.0,ns,131232
UniFrac Function,NDarray vectorized,1000,,,48412458.0,ns,133966
UniFrac Function,NDarray vectorized,1000,,,50361375.0,ns,136700
UniFrac Function,NDarray vectorized,1000,,,50418167.0,ns,139434
UniFrac Function,NDarray vectorized,1000,,,51225292.0,ns,142168
UniFrac Function,NDarray vectorized,1000,,,52252959.0,ns,144902
UniFrac Function,NDarray vectorized,1000,,,53239667.0,ns,147636
UniFrac Function,NDarray vectorized,1000,,,54197250.0,ns,150370
UniFrac Function,NDarray vectorized,1000,,,55338000.0,ns,153104
UniFrac Function,NDarray vectorized,1000,,,56196792.0,ns,155838
UniFrac Function,NDarray vectorized,1000,,,57136750.0,ns,158572
UniFrac Function,NDarray vectorized,1000,,,58123208.0,ns,161306
UniFrac Function,NDarray vectorized,1000,,,59097917.0,ns,164040
UniFrac Function,NDarray vectorized,1000,,,60078709.0,ns,166774
UniFrac Function,NDarray vectorized,1000,,,61065250.0,ns,169508
UniFrac Function,NDarray vectorized,1000,,,62071042.0,ns,172242
UniFrac Function,NDarray vectorized,1000,,,63043750.0,ns,174976
UniFrac Function,NDarray vectorized,1000,,,64143583.0,ns,177710
UniFrac Function,NDarray vectorized,1000,,,65190375.0,ns,180444
UniFrac Function,NDarray vectorized,1000,,,66117958.0,ns,183178
UniFrac Function,NDarray vectorized,1000,,,67332416.0,ns,185912
UniFrac Function,NDarray vectorized,1000,,,68314625.0,ns,188646
UniFrac Function,NDarray vectorized,1000,,,69108541.0,ns,191380
UniFrac Function,NDarray vectorized,1000,,,70068458.0,ns,194114
UniFrac Function,NDarray vectorized,1000,,,70984417.0,ns,196848
UniFrac Function,NDarray vectorized,1000,,,71923959.0,ns,199582
UniFrac Function,NDarray vectorized,1000,,,72904958.0,ns,202316
UniFrac Function,NDarray vectorized,1000,,,73858375.0,ns,205050
UniFrac Function,NDarray vectorized,1000,,,74851834.0,ns,207784
UniFrac Function,NDarray vectorized,1000,,,75883833.0,ns,210518
UniFrac Function,NDarray vectorized,1000,,,76798041.0,ns,213252
UniFrac Function,NDarray vectorized,1000,,,77872833.0,ns,215986
UniFrac Function,NDarray vectorized,1000,,,78918708.0,ns,218720
UniFrac Function,NDarray vectorized,1000,,,80018042.0,ns,221454
UniFrac Function,NDarray vectorized,1000,,,81206584.0,ns,224188
UniFrac Function,NDarray vectorized,1000,,,81888500.0,ns,226922
UniFrac Function,NDarray vectorized,1000,,,82814750.0,ns,229656
UniFrac Function,NDarray vectorized,1000,,,83743042.0,ns,232390
UniFrac Function,NDarray vectorized,1000,,,84726750.0,ns,235124
UniFrac Function,NDarray vectorized,1000,,,85838709.0,ns,237858
UniFrac Function,NDarray vectorized,1000,,,86684334.0,ns,240592
UniFrac Function,NDarray vectorized,1000,,,87828750.0,ns,243326
UniFrac Function,NDarray vectorized,1000,,,88920959.0,ns,246060
UniFrac Function,NDarray vectorized,1000,,,89774833.0,ns,248794
UniFrac Function,NDarray vectorized,1000,,,90735208.0,ns,251528
UniFrac Function,NDarray vectorized,1000,,,91676250.0,ns,254262
UniFrac Function,NDarray vectorized,1000,,,92599333.0,ns,256996
UniFrac Function,NDarray vectorized,1000,,,93728000.0,ns,259730
UniFrac Function,NDarray vectorized,1000,,,94678167.0,ns,262464
UniFrac Function,NDarray vectorized,1000,,,95575500.0,ns,265198
UniFrac Function,NDarray vectorized,1000,,,96549042.0,ns,267932
UniFrac Function,NDarray vectorized,1000,,,97523667.0,ns,270666
UniFrac Function,NDarray vectorized,1000,,,98554625.0,ns,273400
